university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
fa,Конкурсные списки (все группы),2026,2026-08-08 14:33:56.186136+00:00,20,{},,20
gubkin,Конкурсная группа 1,2026,2026-08-08 15:58:59.299248+00:00,989,{},,989
gubkin,Конкурсная группа 10,2026,2026-08-08 15:58:59.652669+00:00,558,{},,558
gubkin,Конкурсная группа 11,2026,2026-08-08 15:59:00.598335+00:00,1697,{},,1697
gubkin,Конкурсная группа 12,2026,2026-08-08 15:58:59.731698+00:00,526,{},,526
gubkin,Конкурсная группа 13,2026,2026-08-08 15:59:00.185081+00:00,815,{},,815
gubkin,Конкурсная группа 14,2026,2026-08-08 15:59:00.518935+00:00,764,{},,764
gubkin,Конкурсная группа 15,2026,2026-08-08 15:59:01.053210+00:00,1054,{},,1054
gubkin,Конкурсная группа 16,2026,2026-08-08 15:59:01.252538+00:00,1148,{},,1148
gubkin,Конкурсная группа 17,2026,2026-08-08 15:59:01.926370+00:00,1977,{},,1977
gubkin,Конкурсная группа 18,2026,2026-08-08 15:59:01.138690+00:00,1350,{},,1350
gubkin,Конкурсная группа 19,2026,2026-08-08 15:59:01.375104+00:00,1283,{},,1283
gubkin,Конкурсная группа 2,2026,2026-08-08 15:58:59.192659+00:00,965,{},,965
gubkin,Конкурсная группа 20,2026,2026-08-08 15:59:01.491294+00:00,967,{},,967
gubkin,Конкурсная группа 21,2026,2026-08-08 15:59:01.629919+00:00,1554,{},,1554
gubkin,Конкурсная группа 22,2026,2026-08-08 15:59:01.789940+00:00,1607,{},,1608
gubkin,Конкурсная группа 23,2026,2026-08-08 15:59:01.586666+00:00,416,{},,416
gubkin,Конкурсная группа 24,2026,2026-08-08 15:59:02.127170+00:00,1726,{},,1726
gubkin,Конкурсная группа 25,2026,2026-08-08 15:59:02.760218+00:00,1452,{},,1452
gubkin,Конкурсная группа 26,2026,2026-08-08 15:59:02.275700+00:00,1338,{},,1338
gubkin,Конкурсная группа 27,2026,2026-08-08 15:59:02.617304+00:00,1301,{},,1301
gubkin,Конкурсная группа 28,2026,2026-08-08 15:59:02.420784+00:00,941,{},,941
gubkin,Конкурсная группа 29,2026,2026-08-08 15:59:02.517730+00:00,999,{},,999
gubkin,Конкурсная группа 3,2026,2026-08-08 15:58:59.414894+00:00,1173,{},,1173
gubkin,Конкурсная группа 30,2026,2026-08-08 15:59:02.954215+00:00,1127,{},,1127
gubkin,Конкурсная группа 31,2026,2026-08-08 15:59:03.053263+00:00,579,{},,579
gubkin,Конкурсная группа 33,2026,2026-08-08 15:59:02.904194+00:00,200,{},,200
gubkin,Конкурсная группа 4,2026,2026-08-08 15:58:59.115669+00:00,203,{},,203
gubkin,Конкурсная группа 5,2026,2026-08-08 15:58:59.537678+00:00,1309,{},,1309
gubkin,Конкурсная группа 6,2026,2026-08-08 15:58:59.786517+00:00,2292,{},,2292
gubkin,Конкурсная группа 7,2026,2026-08-08 15:59:00.269202+00:00,2699,{},,2699
gubkin,Конкурсная группа 8,2026,2026-08-08 15:58:59.978652+00:00,2129,{},,2129
gubkin,Конкурсная группа 9,2026,2026-08-08 15:59:00.775607+00:00,2938,{},,2938
gubkin,Конкурсная группа К1,2026,2026-08-08 15:59:03.353398+00:00,43,{},,43
gubkin,Конкурсная группа К2,2026,2026-08-08 15:59:03.289162+00:00,46,{},,46
gubkin,Конкурсная группа К3,2026,2026-08-08 15:59:03.301090+00:00,76,{},,76
gubkin,Конкурсная группа О1,2026,2026-08-08 15:59:02.926691+00:00,248,{},,248
gubkin,Конкурсная группа О2,2026,2026-08-08 15:59:03.206120+00:00,203,{},,203
gubkin,Конкурсная группа О3,2026,2026-08-08 15:59:03.132010+00:00,82,{},,82
gubkin,Конкурсная группа Т1,2026,2026-08-08 15:59:03.256389+00:00,138,{},,138
gubkin,Конкурсная группа Т10,2026,2026-08-08 15:59:03.342992+00:00,116,{},,116
gubkin,Конкурсная группа Т11,2026,2026-08-08 15:59:03.309061+00:00,116,{},,116
gubkin,Конкурсная группа Т12,2026,2026-08-08 15:59:03.320793+00:00,116,{},,116
gubkin,Конкурсная группа Т2,2026,2026-08-08 15:59:03.143038+00:00,151,{},,151
gubkin,Конкурсная группа Т3,2026,2026-08-08 15:59:03.160472+00:00,158,{},,158
gubkin,Конкурсная группа Т4,2026,2026-08-08 15:59:03.176990+00:00,139,{},,139
gubkin,Конкурсная группа Т5,2026,2026-08-08 15:59:03.190708+00:00,130,{},,130
gubkin,Конкурсная группа Т6,2026,2026-08-08 15:59:03.227061+00:00,154,{},,154
gubkin,Конкурсная группа Т7,2026,2026-08-08 15:59:03.243259+00:00,122,{},,122
gubkin,Конкурсная группа Т8,2026,2026-08-08 15:59:03.270174+00:00,171,{},,171
gubkin,Конкурсная группа Т9,2026,2026-08-08 15:59:03.331392+00:00,117,{},,117
itmo,01.03.02 «Прикладная математика и информатика»,2026,2026-08-08 14:32:20.941090+00:00,2357,"{""by_target_quota"": 5, ""by_special_quota"": 18, ""by_unusual_quota"": null, ""general_competition"": 180, ""without_entry_tests"": null}",,2357
